gender,d_age,samerace,importance_same_race,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,match
0,6,0,2,Law,35,20,20,20,0,5,6,8,8,8,8,6,15,20,20,15,15,15,6,8,8,8,7,6,9,7,7,6,5,0.14,3,2,4,7,6,0,0
0,1,0,2,Law,60,0,0,40,0,0,7,8,10,7,7,5,15,20,20,15,15,15,6,8,8,8,7,7,8,7,8,5,6,0.54,3,2,4,7,5,1,0
0,1,1,2,Law,19,18,19,18,14,12,10,10,10,10,10,10,15,20,20,15,15,15,6,8,8,8,7,5,8,9,8,5,7,0.16,3,2,4,7,,1,1
0,2,0,2,Law,30,5,15,40,5,5,7,8,9,8,9,8,15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,8,0.61,3,2,4,7,6,0,1
0,3,0,2,Law,30,10,20,10,10,20,8,7,9,6,9,7,15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,6,0.21,3,2,4,6,6,0,1
0,4,0,2,Law,50,0,30,10,0,10,7,7,8,8,7,7,15,20,20,15,15,15,6,8,8,8,7,4,9,7,4,6,4,0.25,3,2,4,6,5,0,0
0,9,0,2,Law,35,15,25,10,5,10,3,6,7,5,8,7,15,20,20,15,15,15,6,8,8,8,7,7,6,7,4,6,7,0.34,3,2,4,6,5,0,0
0,6,0,2,Law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,15,20,20,15,15,15,6,8,8,8,7,4,9,7,6,5,6,0.5,3,2,4,6,7,,0
0,7,0,2,Law,50,0,25,10,0,15,7,7,8,8,8,9,15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,8,0.28,3,2,4,7,7,0,1
0,3,0,2,Law,100,0,0,0,0,0,6,6,6,6,6,6,15,20,20,15,15,15,6,8,8,8,7,5,6,6,8,10,8,-0.36,3,2,4,6,6,0,0
0,3,1,2,law,35,20,20,20,0,5,8,7,6,9,7,4,45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,0.29,4,5,3,6,4,0,0
0,2,1,2,law,60,0,0,40,0,0,7,6,10,6,6,5,45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,6,0.18,4,5,3,7,3,0,0
0,2,0,2,law,19,18,19,18,14,12,10,10,10,10,10,10,45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,4,0.1,4,5,3,6,7,0,0
0,1,1,2,law,30,5,15,40,5,5,9,9,9,9,9,9,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,-0.21,4,5,3,7,8,0,1
0,0,0,2,law,30,10,20,10,10,20,10,10,10,10,7,8,45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,8,0.32,4,5,3,8,6,1,0
0,1,1,2,law,50,0,30,10,0,10,7,8,7,5,7,7,45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,2,0.73,4,5,3,6,5,0,0
0,6,1,2,law,35,15,25,10,5,10,5,3,4,3,5,3,45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,9,0.6,4,5,3,8,7,0,0
0,3,1,2,law,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,5,0.07,4,5,3,5,6,0,0
0,4,1,2,law,50,0,25,10,0,15,8,6,9,9,8,7,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,0.11,4,5,3,5,6,0,1
0,0,1,2,law,100,0,0,0,0,0,6,5,7,7,9,7,45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,8,0.39,4,5,3,8,7,0,0
0,2,1,8,Economics,35,20,20,20,0,5,7,8,6,5,8,4,35,10,35,10,10,0,8,9,8,9,8,7,9,10,7,8,9,-0.24,4,2,,8,7,1,0
0,3,1,8,Economics,60,0,0,40,0,0,6,7,10,6,6,5,35,10,35,10,10,0,8,9,8,9,8,9,7,9,8,9,7,-0.14,4,2,,8,7,0,0
0,3,0,8,Economics,19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,7,0.09,4,2,,8,7,0,0
0,2,1,8,Economics,30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,7,-0.04,4,2,,8,7,0,0
0,1,0,8,Economics,30,10,20,10,10,20,6,10,8,6,,,35,10,35,10,10,0,8,9,8,9,8,9,10,10,10,10,10,-0.14,4,2,,9,,0,0
0,0,1,8,Economics,50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,9,8,9,8,8,10,10,7,9,9,-0.3,4,2,,8,,0,0
0,5,1,8,Economics,35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,9,-0.26,4,2,,8,7,0,0
0,2,1,8,Economics,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,7,0.29,4,2,,8,7,0,0
0,3,1,8,Economics,50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,9,-0.15,4,2,,9,7,0,0
0,1,1,8,Economics,100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,7,-0.47,4,2,,8,7,0,0
0,4,1,1,Law,35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,-0.18,1,2,2,6,7,0,0
